Label,Original position with presetbar,Original position without presetbar,Center position with presetbar,Center position without presetbar
# Large rotaries (70px),,,,
## WAVEFORM,,,,
X,45.509,45.509,80.509,80.509
Y,85.764,55.764,120.764,90.764
,,,,
## VOLUME,,,,
X,782.714,782.714,817.714,817.714
Y,85.764,55.764,120.764,90.764
,,,,
# Medium rotaries (60px),,,,
## TUNING,,,,
X,172.952,172.952,202.952,202.952
Y,177.706,147.706,207.706,177.706
,,,,
## CUT OFF FREQ,,,,
X,271.928,271.928,301.928,301.928
Y,177.706,147.706,207.706,177.706
,,,,
## RESONANCE,,,,
X,369.983,369.983,399.983,399.983
Y,177.706,147.706,207.706,177.706
,,,,
## ENV MOD,,,,
X,469.181,469.181,499.181,504.181
Y,177.706,147.706,207.706,182.706
,,,,
## DECAY,,,,
X,567.356,567.356,597.356,597.356
Y,177.706,147.706,207.706,177.706
,,,,
## ACCENT,,,,
X,667.047,667.047,697.047,697.047
Y,177.706,147.706,207.706,177.706
,,,,
# Small rotaries (30px),,,,
## NORM DEC,,,,
X,145.6,145.6,160.6,160.6
Y,329.275,299.275,344.275,314.275
,,,,
## ACC DEC,,,,
X,233.8,233.8,248.8,248.8
Y,329.377,299.377,344.377,314.377
,,,,
## FILT FEEDB,,,,
X,322,322,337,337
Y,329.377,299.377,344.377,314.377
,,,,
## SOFT ATT,,,,
X,410.2,410.2,425.2,425.2
Y,329.377,299.377,344.377,314.377
,,,,
## SLIDE TIME,,,,
X,498.4,498.4,513.4,513.4
Y,329.377,299.377,344.377,314.377
,,,,
## SQUARE DRV,,,,
X,586.6,586.6,601.6,601.6
Y,329.377,299.377,344.377,314.377
,,,,
## DRIVE,,,,
X,694.8,694.8,709.8,709.8
Y,329.377,299.377,344.377,314.377
,,,,
## DRY / WET,,,,
X,783,783,798,798
Y,329.377,299.377,344.377,314.377
,,,,
# Else,,,,
## ON / OFF SWITCH,,,,
X,55.5,55.5,70.5,55.5
Y,360.453,330.453,375.453,300.453
